,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Source: IEA, World Energy Outlook-2020",,,,,,,,,,,
,,Electricity Access in Central and South America,,,,,,,,,,,
,,,Proportion of the population with access to electricity,,,,,,,Population without access (million),,,
,,,National,,,,,Urban,Rural,,,,
,,,2000 ,2005 ,2010 ,2015 ,2019 ,2019 ,2019 ,2019 ,,,
,,Central and South America,87%,91%,94%,96%,97%,99%,87%,16,,,
,,Argentina,95%,97%,99%,99%,99%,>99%,85%,<1,,,
,,Bolivia,55%,65%,79%,88%,93%,>99%,79%,<1,,,
,,Brazil,95%,97%,99%,>99%,>99%,>99%,>99%,<1,,,
,,Colombia,87%,92%,96%,97%,97%,>99%,86%,2,,,
,,Costa Rica,97%,98%,>99%,>99%,>99%,>99%,97%,<1,,,
,,Cuba,94%,96%,97%,>99%,>99%,>99%,>99%,<1,,,
,,Dominican Republic,92%,94%,96%,97%,97%,98%,94%,<1,,,
,,Ecuador,89%,92%,93%,98%,97%,>99%,93%,<1,,,
,,El Salvador,80%,88%,92%,95%,97%,99%,93%,<1,,,
,,Guatemala,74%,84%,83%,92%,92%,>99%,85%,1,,,
,,Haiti,34%,34%,36%,38%,39%,60%,12%,7,,,
,,Honduras,43%,52%,64%,74%,81%,91%,68%,2,,,
,,Jamaica,90%,88%,92%,98%,99%,>99%,97%,<1,,,
,,Nicaragua,55%,60%,70%,85%,97%,>99%,92%,<1,,,
,,Panama,76%,86%,88%,94%,92%,>99%,77%,<1,,,
,,Paraguay,82%,95%,97%,>99%,>99%,>99%,>99%,<1,,,
,,Peru,69%,73%,82%,93%,97%,>99%,86%,<1,,,
,,Trinidad and Tobago,99%,>99%,99%,98%,>99%,>99%,98%,<1,,,
,,Uruguay,96%,97%,>99%,>99%,>99%,>99%,99%,<1,,,
,,Venezuela,94%,96%,98%,99%,>99%,>99%,99%,<1,,,
,,Other Central and South America,83%,88%,93%,96%,96%,99%,92%,<1,,,
