,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Source: IEA, World Energy Outlook-2020",,,,,,,,,,,
,,Electricity Access in the Middle East,,,,,,,,,,,
,,,Proportion of the population with access to electricity,,,,,,,Population without access (million),,,
,,,National,,,,,Urban,Rural,,,,
,,,2000 ,2005 ,2010 ,2015 ,2019 ,2019 ,2019 ,2019 ,,,
,,Middle East,91%,90%,91%,92%,92%,98%,77%,19,,,
,,Bahrain,>99%,>99%,>99%,>99%,>99%,>99%,>99%,<1,,,
,,Iran,98%,98%,98%,99%,>99%,>99%,96%,<1,,,
,,Iraq,95%,97%,98%,98%,98%,>99%,95%,<1,,,
,,Jordan,95%,>99%,>99%,>99%,>99%,>99%,>99%,<1,,,
,,Kuwait,>99%,>99%,>99%,>99%,>99%,>99%,<1%,<1,,,
,,Lebanon,95%,>99%,>99%,>99%,>99%,>99%,>99%,<1,,,
,,Oman,94%,96%,98%,98%,99%,>99%,92%,<1,,,
,,Saudi Arabia,98%,97%,99%,>99%,>99%,>99%,98%,<1,,,
,,Syria,86%,91%,93%,93%,92%,>99%,84%,1,,,
,,Qatar,95%,97%,99%,>99%,>99%,>99%,98%,<1,,,
,,United Arab Emirates,96%,94%,>99%,>99%,>99%,>99%,>99%,<1,,,
,,Yemen,50%,37%,40%,46%,47%,72%,31%,16,,,
