,,,,,,,,,,,,
,,,,,,,,,,,,
,,"Source: IEA, World Energy Outlook-2020",,,,,,,,,,
,,"Electricity Access, Summary by Region",,,,,,,,,,
,,,Proportion of the population with access to electricity,,,,,,,Population without access (million),,
,,,National,,,,,Urban,Rural,,,
,,,2000 ,2005 ,2010 ,2015 ,2019 ,2019 ,2019 ,2019 ,,
,,WORLD,73%,77%,80%,85%,90%,96%,85%,771,,
,,Africa,36%,40%,44%,49%,56%,81%,37%,579,,
,,North Africa,91%,97%,>99%,>99%,>99%,>99%,>99%,<1,,
,,Sub-Saharan Africa,24%,28%,33%,40%,48%,76%,28%,578,,
,,Developing Asia,67%,74%,79%,87%,96%,99%,94%,155,,
,,China,99%,>99%,>99%,>99%,>99%,>99%,>99%,<1,,
,,India,43%,58%,68%,79%,>99%,>99%,>99%,6,,
,,Indonesia,53%,56%,67%,88%,>99%,>99%,99%,2,,
,,Other Southeast Asia,65%,75%,79%,85%,91%,98%,85%,36,,
,,Other Developing Asia,38%,46%,58%,73%,79%,88%,74%,112,,
,,Central and South America,87%,91%,94%,96%,97%,99%,87%,16,,
,,Middle East,91%,90%,91%,92%,92%,98%,77%,19,,
