Country Name,Development Status
Aland Islands,Less/Under Developed
American Samoa,Less/Under Developed
Anguilla,Less/Under Developed
Antarctica,Less/Under Developed
Antigua & Barbuda,Less/Under Developed
Bermuda,Less/Under Developed
Bosnia,Less/Under Developed
Bosnia & Herzegovina,Less/Under Developed
Bouvet Island,Less/Under Developed
British Indian Ocean Territory,Less/Under Developed
British Virgin Islands,Less/Under Developed
Caribbean Netherlands,Less/Under Developed
Cayman Islands,Less/Under Developed
Christmas Island,Less/Under Developed
Cocos (Keeling) Islands,Less/Under Developed
Congo - Brazzaville,Less/Under Developed
Congo - Kinshasa,Less/Under Developed
Cook Islands,Less/Under Developed
Curaçao,Less/Under Developed
Côte d’Ivoire,Less/Under Developed
Falkland Islands,Less/Under Developed
Faroe Islands,Less/Under Developed
French Guiana,Less/Under Developed
French Polynesia,Less/Under Developed
French Southern & Antarctic Lands,Less/Under Developed
French Southern Territories,Less/Under Developed
Gaza,Less/Under Developed
Gaza Strip,Less/Under Developed
Gibraltar,Less/Under Developed
Greenland,Less/Under Developed
Guadeloupe,Less/Under Developed
Guam,Less/Under Developed
Guernsey,Less/Under Developed
Heard Island & McDonald Islands,Less/Under Developed
Indian Ocean Territories,Less/Under Developed
Isle of Man,Less/Under Developed
Jersey,Less/Under Developed
Macau,Less/Under Developed
Macau,Less/Under Developed
Martinique,Less/Under Developed
Mayotte,Less/Under Developed
Monaco,Less/Under Developed
Montserrat,Less/Under Developed
N. Mariana Islands,Less/Under Developed
Netherlands Antilles,Less/Under Developed
New Caledonia,Less/Under Developed
Niue,Less/Under Developed
Norfolk Island,Less/Under Developed
North Korea,Less/Under Developed
Northern Cyprus,Less/Under Developed
Northern Mariana Islands,Less/Under Developed
Pitcairn Islands,Less/Under Developed
Puerto Rico,Less/Under Developed
Reunion,Less/Under Developed
Réunion,Less/Under Developed
Saint Helena,Less/Under Developed
San Marino,Less/Under Developed
Sao Tome & Principe,Less/Under Developed
Siachen Glacier,Less/Under Developed
Sint Maarten,Less/Under Developed
South Georgia & South Sandwich Islands,Less/Under Developed
St. Barthélemy,Less/Under Developed
St. Helena,Less/Under Developed
St. Kitts & Nevis,Less/Under Developed
St. Martin,Less/Under Developed
St. Pierre & Miquelon,Less/Under Developed
St. Vincent & Grenadines,Less/Under Developed
Svalbard & Jan Mayen,Less/Under Developed
São Tomé & Príncipe,Less/Under Developed
Taiwan,Less/Under Developed
Timor-Leste,Less/Under Developed
Tokelau,Less/Under Developed
Trinidad & Tobago,Less/Under Developed
Turks & Caicos Islands,Less/Under Developed
U.S. Outlying Islands,Less/Under Developed
U.S. Virgin Islands,Less/Under Developed
Vatican City,Less/Under Developed
Wallis & Futuna,Less/Under Developed
West Bank,Less/Under Developed
Western Sahara,Less/Under Developed
